"Ensembl_gene_identifier","Symbol","type_of_gene"
"ENSG00000284542","MIR3614","ncRNA"
"ENSG00000266533","MIR3619","ncRNA"
"ENSG00000264069","MIR3943","ncRNA"
"ENSG00000283461","MIR550B2","ncRNA"
"ENSG00000264249","MIR3912","ncRNA"
"ENSG00000283936","MIR3658","ncRNA"
"ENSG00000264747","MIR3924","ncRNA"
"ENSG00000265810","MIR3907","ncRNA"
"ENSG00000265878","MIR3914-1","ncRNA"
"ENSG00000284180","MIR3606","ncRNA"
"ENSG00000283523","MIR3926-2","ncRNA"
"ENSG00000263763","MIR3686","ncRNA"
"ENSG00000264511","MIR3678","ncRNA"
"ENSG00000284503","MIR3652","ncRNA"
"ENSG00000264295","MIR3922","ncRNA"
"ENSG00000263744","MIR3664","ncRNA"
"ENSG00000283212","MIR642B","ncRNA"
"ENSG00000265872","MIR3689A","ncRNA"
"ENSG00000284186","MIR3615","ncRNA"
"ENSG00000283881","MIR3916","ncRNA"
"ENSG00000265452","MIR3682","ncRNA"
"ENSG00000265558","MIR3918","ncRNA"
"ENSG00000264115","MIR3180-4","ncRNA"
"ENSG00000284154","MIR3605","ncRNA"
"ENSG00000265996","MIR3671","ncRNA"
"ENSG00000266449","MIR3713","ncRNA"
"ENSG00000266016","MIR548Z","ncRNA"
"ENSG00000265828","MIR3939","ncRNA"
"ENSG00000284351","MIR3622A","ncRNA"
"ENSG00000264897","MIR3921","ncRNA"
"ENSG00000284140","MIR3618","ncRNA"
"ENSG00000266325","MIR3665","ncRNA"
"ENSG00000275708","MIR3648-1","ncRNA"
"ENSG00000207704","MIR548AA1","ncRNA"
"ENSG00000265641","MIR3929","ncRNA"
"ENSG00000263597","MIR3936","ncRNA"
"ENSG00000265442","MIR3941","ncRNA"
"ENSG00000265213","MIR3684","ncRNA"
"ENSG00000283677","MIR3913-2","ncRNA"
"ENSG00000265456","MIR3672","ncRNA"
"ENSG00000266206","MIR3926-1","ncRNA"
"ENSG00000265075","MIR3622B","ncRNA"
"ENSG00000283874","MIR3911","ncRNA"
"ENSG00000266509","MIR3934","ncRNA"
"ENSG00000264013","MIR3938","ncRNA"
"ENSG00000263811","MIR3675","ncRNA"
"ENSG00000265193","MIR3923","ncRNA"
"ENSG00000263813","MIR3679","ncRNA"
"ENSG00000263514","MIR3668","ncRNA"
"ENSG00000283409","MIR3662","ncRNA"
"ENSG00000264105","MIR3688-1","ncRNA"
"ENSG00000264139","MIR3667","ncRNA"
"ENSG00000283237","MIR550B1","ncRNA"
"ENSG00000264089","MIR3681","ncRNA"
"ENSG00000263894","MIR3925","ncRNA"
"ENSG00000266287","MIR3683","ncRNA"
"ENSG00000211991","MIR676","ncRNA"
"ENSG00000284159","MIR3940","ncRNA"
"ENSG00000266370","MIR3657","ncRNA"
"ENSG00000266228","MIR3611","ncRNA"
"ENSG00000265281","MIR3935","ncRNA"
"ENSG00000266782","MIR3663","ncRNA"
"ENSG00000265658","MIR3690","ncRNA"
"ENSG00000207688","MIR548AA2","ncRNA"
"ENSG00000272230","MIR3666","ncRNA"
"ENSG00000266071","MIR3617","ncRNA"
"ENSG00000263861","MIR3927","ncRNA"
"ENSG00000266617","MIR3692","ncRNA"
"ENSG00000265083","MIR3691","ncRNA"
"ENSG00000264141","MIR3928","ncRNA"
"ENSG00000283351","MIR3910-2","ncRNA"
"ENSG00000264405","MIR3913-1","ncRNA"
"ENSG00000265102","MIR3942","ncRNA"
"ENSG00000266751","MIR3661","ncRNA"
"ENSG00000264163","MIR3689B","ncRNA"
"ENSG00000284147","MIR3150B","ncRNA"
"ENSG00000264864","MIR3613","ncRNA"
"ENSG00000266655","MIR3908","ncRNA"
"ENSG00000263918","MIR3670-1","ncRNA"
"ENSG00000265395","MIR3944","ncRNA"
"ENSG00000283858","MIR3674","ncRNA"
"ENSG00000283885","MIR3714","ncRNA"
"ENSG00000283956","MIR3610","ncRNA"
"ENSG00000263600","MIR3915","ncRNA"
"ENSG00000264397","MIR3180-5","ncRNA"
"ENSG00000265462","MIR3680-1","ncRNA"
"ENSG00000281156","MIR3651","ncRNA"
"ENSG00000263945","MIR548Y","ncRNA"
"ENSG00000283278","MIR3914-2","ncRNA"
"ENSG00000255359","CCDC179","protein-coding"
"ENSG00000283154","IQCJ-SCHIP1","protein-coding"
"ENSG00000267712","LINC01539","ncRNA"
"ENSG00000205293","LINC01602","ncRNA"
"ENSG00000230601","TEX48","protein-coding"
"ENSG00000267107","PCAT19","ncRNA"
"ENSG00000167912","LOC100505501","ncRNA"
"ENSG00000234265","LINC01723","ncRNA"
"ENSG00000227354","RBM26-AS1","ncRNA"
"ENSG00000234855","SLIT1-AS1","ncRNA"
"ENSG00000248809","LINC01095","ncRNA"
"ENSG00000267040","LOC100505549","ncRNA"
"ENSG00000196605","LOC100505555","ncRNA"
"ENSG00000227356","LINC00866","ncRNA"
"ENSG00000228221","LINC00578","ncRNA"
"ENSG00000259330","INAFM2","protein-coding"
"ENSG00000263874","LINC00672","ncRNA"
"ENSG00000261683","LINC00838","ncRNA"
"ENSG00000076928","LOC100505585","ncRNA"
"ENSG00000236668","LOC100505588","ncRNA"
"ENSG00000204913","LRRC3C","protein-coding"
"ENSG00000266835","GAPLINC","ncRNA"
"ENSG00000226386","PARD3-AS1","ncRNA"
"ENSG00000241696","LINC02053","ncRNA"
"ENSG00000250988","SNHG21","ncRNA"
"ENSG00000260268","LINC00919","ncRNA"
"ENSG00000184224","C11orf72","ncRNA"
"ENSG00000254887","LOC100505622","ncRNA"
"ENSG00000234945","GTF3C2-AS1","ncRNA"
"ENSG00000248677","LINC02102","ncRNA"
"ENSG00000224259","LINC01133","ncRNA"
"ENSG00000235033","DAAM2-AS1","ncRNA"
"ENSG00000225733","FGD5-AS1","ncRNA"
"ENSG00000245849","RAD51-AS1","ncRNA"
"ENSG00000246422","DIAPH1-AS1","ncRNA"
"ENSG00000253138","LINC00967","ncRNA"
"ENSG00000230387","LOC100505664","ncRNA"
"ENSG00000246145","RRS1-AS1","ncRNA"
"ENSG00000246859","STARD4-AS1","ncRNA"
"ENSG00000259511","UBE2Q2L","protein-coding"
"ENSG00000268061","NAPA-AS1","ncRNA"
"ENSG00000232645","LINC01431","ncRNA"
"ENSG00000251249","LOC100505685","ncRNA"
"ENSG00000240024","LINC00888","ncRNA"
"ENSG00000224660","SH3BP5-AS1","ncRNA"
"ENSG00000267058","LOC100505715","ncRNA"
"ENSG00000223522","LOC100505716","ncRNA"
"ENSG00000253658","LINC01592","ncRNA"
"ENSG00000180386","KRTAP9-7","protein-coding"
"ENSG00000247516","MIR4458HG","ncRNA"
"ENSG00000253479","LINC01603","ncRNA"
"ENSG00000122432","SPATA1","protein-coding"
"ENSG00000227039","ITGB2-AS1","ncRNA"
"ENSG00000212657","KRTAP16-1","protein-coding"
"ENSG00000237054","PRMT5-AS1","ncRNA"
"ENSG00000269609","RPARP-AS1","ncRNA"
"ENSG00000227290","LINC01364","ncRNA"
"ENSG00000232442","MHENCR","ncRNA"
"ENSG00000226833","LOC100505774","ncRNA"
"ENSG00000260676","LINC01541","ncRNA"
"ENSG00000234859","LOC100505782","ncRNA"
"ENSG00000223891","OSER1-DT","ncRNA"
"ENSG00000233693","PBX1-AS1","ncRNA"
"ENSG00000263958","LOC100505797","ncRNA"
"ENSG00000250786","SNHG18","ncRNA"
"ENSG00000250427","LINC02148","ncRNA"
"ENSG00000268001","CARD8-AS1","ncRNA"
"ENSG00000261780","LINC02582","ncRNA"
"ENSG00000232265","LINC02805","ncRNA"
"ENSG00000227477","STK4-AS1","ncRNA"
"ENSG00000230461","PROX1-AS1","ncRNA"
"ENSG00000280693","SH3PXD2A-AS1","ncRNA"
"ENSG00000269289","LOC100505851","ncRNA"
"ENSG00000261194","LINC01898","ncRNA"
"ENSG00000214293","APTR","ncRNA"
"ENSG00000249307","LINC01088","ncRNA"
"ENSG00000218739","CEBPZOS","protein-coding"
"ENSG00000233153","UBE2E2-AS1","ncRNA"
"ENSG00000229921","KIF25-AS1","ncRNA"
"ENSG00000234456","MAGI2-AS3","ncRNA"
"ENSG00000226387","SORCS3-AS1","ncRNA"
"ENSG00000248228","SLIT2-IT1","ncRNA"
"ENSG00000247828","TMEM161B-AS1","ncRNA"
"ENSG00000260735","LOC100505915","ncRNA"
"ENSG00000203876","ADD3-AS1","ncRNA"
"ENSG00000260854","LINC02184","ncRNA"
"ENSG00000237401","LINC01304","ncRNA"
"ENSG00000258548","LINC00645","ncRNA"
"ENSG00000230679","ENO1-AS1","ncRNA"
"ENSG00000257711","LOC100505978","ncRNA"
"ENSG00000285373","LINC02478","ncRNA"
"ENSG00000226733","LOC100505985","ncRNA"
"ENSG00000248771","SMIM31","protein-coding"
"ENSG00000185863","TMEM210","protein-coding"
"ENSG00000248323","LUCAT1","ncRNA"
"ENSG00000224243","SOX1-OT","ncRNA"
"ENSG00000230510","PPP5D1","protein-coding"
"ENSG00000248329","APELA","protein-coding"
"ENSG00000245148","ARAP1-AS2","ncRNA"
"ENSG00000284693","LINC02606","ncRNA"
"ENSG00000229688","CRPPA-AS1","ncRNA"
"ENSG00000268006","PTOV1-AS1","ncRNA"
"ENSG00000250334","LINC00989","ncRNA"
"ENSG00000273265","CNNM3-DT","ncRNA"
"ENSG00000205858","LRRC72","protein-coding"
"ENSG00000228564","LINC01005","ncRNA"
"ENSG00000234171","RNASEH1-AS1","ncRNA"
"ENSG00000261556","SMG1P7","pseudo"
"ENSG00000245598","DACT3-AS1","ncRNA"
"ENSG00000261126","RBFADN","ncRNA"
"ENSG00000258525","LOC100506071","ncRNA"
"ENSG00000254480","LINC02749","ncRNA"
"ENSG00000261777","LOC100506083","ncRNA"
"ENSG00000228696","ARL17B","protein-coding"
"ENSG00000248319","LINC02275","ncRNA"
"ENSG00000233834","LOC100506098","ncRNA"
"ENSG00000223478","LOC100506100","ncRNA"
"ENSG00000250968","LINC02382","ncRNA"
"ENSG00000236502","SIX3-AS1","ncRNA"
"ENSG00000255507","UVRAG-DT","ncRNA"
"ENSG00000233901","LINC01503","ncRNA"
"ENSG00000248872","LINC02431","ncRNA"
"ENSG00000257660","ADCY6-DT","ncRNA"
"ENSG00000232139","LINC00867","ncRNA"
"ENSG00000179240","GVQW3","protein-coding"
"ENSG00000250116","LOC100506142","ncRNA"
"ENSG00000243749","TMEM35B","protein-coding"
"ENSG00000225231","LINC02470","ncRNA"
"ENSG00000225265","TAF1A-AS1","ncRNA"
"ENSG00000171116","HSFX1","protein-coding"
"ENSG00000258779","LINC01568","ncRNA"
"ENSG00000234693","LOC100506175","ncRNA"
"ENSG00000232759","LOC100506178","ncRNA"
"ENSG00000224973","LARGE-AS1","ncRNA"
"ENSG00000285219","LOC100506207","ncRNA"
"ENSG00000247095","MIR210HG","ncRNA"
"ENSG00000238197","PAXBP1-AS1","ncRNA"
"ENSG00000249173","LINC01093","ncRNA"
"ENSG00000253563","NKX2-1-AS1","ncRNA"
"ENSG00000215403","LL22NC01-81G9.3","ncRNA"
"ENSG00000240747","KRBOX1","protein-coding"
"ENSG00000251364","LOC100506258","ncRNA"
"ENSG00000237862","LOC100506271","ncRNA"
"ENSG00000250590","LINC02492","ncRNA"
"ENSG00000229727","LOC100506274","ncRNA"
"ENSG00000206552","KRBOX1-AS1","ncRNA"
"ENSG00000240338","LOC100506281","ncRNA"
"ENSG00000247137","LOC100506282","ncRNA"
"ENSG00000272902","TBC1D8-AS1","ncRNA"
"ENSG00000233760","LOC100506289","ncRNA"
"ENSG00000216895","LOC100506302","ncRNA"
"ENSG00000251381","LINC00958","ncRNA"
"ENSG00000233429","HOTAIRM1","ncRNA"
"ENSG00000247498","GPRC5D-AS1","ncRNA"
"ENSG00000283036","LINC01988","ncRNA"
"ENSG00000259118","LOC100506321","ncRNA"
"ENSG00000234494","SP2-AS1","ncRNA"
"ENSG00000237945","LINC00649","ncRNA"
"ENSG00000227811","INKA2-AS1","ncRNA"
"ENSG00000229851","ARSD-AS1","ncRNA"
"ENSG00000253738","OTUD6B-AS1","ncRNA"
"ENSG00000246523","FZD4-DT","ncRNA"
"ENSG00000267710","EDDM13","protein-coding"
"ENSG00000205231","TTLL10-AS1","unknown"
"ENSG00000182648","LINC01006","ncRNA"
"ENSG00000238194","PHACTR3-AS1","ncRNA"
"ENSG00000234380","LINC01426","ncRNA"
"ENSG00000226419","SLC16A1-AS1","ncRNA"
"ENSG00000256287","LINC02398","ncRNA"
"ENSG00000272695","GAS6-DT","ncRNA"
"ENSG00000159216","LOC100506403","ncRNA"
"ENSG00000228496","LOC100506405","ncRNA"
"ENSG00000249748","LOC100506406","ncRNA"
"ENSG00000230314","ELOVL2-AS1","ncRNA"
"ENSG00000259153","LOC100506411","ncRNA"
"ENSG00000258700","LINC00871","ncRNA"
"ENSG00000225572","DOCK4-AS1","ncRNA"
"ENSG00000233639","PANTR1","ncRNA"
"ENSG00000236830","CBR3-AS1","ncRNA"
"ENSG00000259129","LINC00648","ncRNA"
"ENSG00000249341","LOC100506444","ncRNA"
"ENSG00000224184","MIR3681HG","ncRNA"
"ENSG00000249700","SRD5A3-AS1","ncRNA"
"ENSG00000249550","LINC01234","ncRNA"
"ENSG00000236144","TMEM147-AS1","ncRNA"
"ENSG00000229606","LINC01718","ncRNA"
"ENSG00000225649","LOC100506474","ncRNA"
"ENSG00000248572","EGFLAM-AS2","ncRNA"
"ENSG00000240973","LOC100506489","ncRNA"
"ENSG00000235123","DSCAM-AS1","ncRNA"
"ENSG00000244968","LIFR-AS1","ncRNA"
"ENSG00000272568","LOC100506497","ncRNA"
"ENSG00000258586","LINC02274","ncRNA"
"ENSG00000182873","PRKCZ-AS1","ncRNA"
"ENSG00000239314","MORC1-AS1","ncRNA"
"ENSG00000281404","LINC01176","ncRNA"
"ENSG00000251575","C5orf64-AS1","ncRNA"
"ENSG00000233123","LINC01007","ncRNA"
"ENSG00000259284","LINC02349","ncRNA"
"ENSG00000247595","SPTY2D1OS","protein-coding"
"ENSG00000269186","LINC01082","ncRNA"
"ENSG00000257279","LOC100506551","ncRNA"
"ENSG00000249693","THEGL","protein-coding"
"ENSG00000276255","LINC02809","ncRNA"
"ENSG00000260456","C16orf95","protein-coding"
"ENSG00000225361","PPP1R26-AS1","ncRNA"
"ENSG00000258301","VASH1-AS1","ncRNA"
"ENSG00000257176","LOC100506606","ncRNA"
"ENSG00000276476","LINC00540","ncRNA"
"ENSG00000224424","PRKAR2A-AS1","ncRNA"
"ENSG00000227011","LINC02876","ncRNA"
"ENSG00000260034","LCMT1-AS2","ncRNA"
"ENSG00000197822","OCLN","protein-coding"
"ENSG00000245614","DDX11-AS1","ncRNA"
"ENSG00000248008","NRAV","ncRNA"
"ENSG00000254584","LOC100506675","ncRNA"
"ENSG00000265544","AA06","pseudo"
"ENSG00000230319","LOC100506679","ncRNA"
"ENSG00000229558","SACS-AS1","ncRNA"
"ENSG00000235488","JARID2-AS1","ncRNA"
"ENSG00000226770","LOC100506682","ncRNA"
"ENSG00000259673","IQCH-AS1","ncRNA"
"ENSG00000215246","LOC100506688","ncRNA"
"ENSG00000256546","LOC100506691","ncRNA"
"ENSG00000228288","PCAT6","ncRNA"
"ENSG00000232977","LINC00327","ncRNA"
"ENSG00000281649","EBLN3P","pseudo"
"ENSG00000215067","ALOX12-AS1","ncRNA"
"ENSG00000226328","NUP50-DT","ncRNA"
"ENSG00000242385","LINC00901","ncRNA"
"ENSG00000227544","LOC100506725","ncRNA"
"ENSG00000234736","FAM170B-AS1","ncRNA"
"ENSG00000205045","SLFN12L","protein-coding"
"ENSG00000238120","LINC01589","ncRNA"
"ENSG00000204403","CASP12","protein-coding"
"ENSG00000235529","AGAP1-IT1","ncRNA"
"ENSG00000267532","MIR497HG","ncRNA"
"ENSG00000227060","LINC00629","ncRNA"
"ENSG00000239877","IGSF11-AS1","ncRNA"
"ENSG00000281103","TRG-AS1","ncRNA"
"ENSG00000265148","TSPOAP1-AS1","ncRNA"
"ENSG00000229015","LOC100506790","ncRNA"
"ENSG00000250584","LINC01511","ncRNA"
"ENSG00000231768","LINC01354","ncRNA"
"ENSG00000226856","THORLNC","ncRNA"
"ENSG00000231105","ECE1-AS1","ncRNA"
"ENSG00000225793","TMEM30A-DT","ncRNA"
"ENSG00000227630","LINC01132","ncRNA"
"ENSG00000239523","MYLK-AS1","ncRNA"
"ENSG00000251350","LINC02475","ncRNA"
"ENSG00000226237","GAS1RR","ncRNA"
"ENSG00000226808","LINC00840","ncRNA"
"ENSG00000224792","IQCF4P","pseudo"
"ENSG00000257698","GIHCG","ncRNA"
"ENSG00000237298","TTN-AS1","ncRNA"
"ENSG00000258231","LOC100506869","ncRNA"
"ENSG00000236753","MKLN1-AS","ncRNA"
"ENSG00000228412","LOC100506885","ncRNA"
"ENSG00000183791","ELOA3D","protein-coding"
"ENSG00000231638","LUARIS","ncRNA"
"ENSG00000236709","DAPK1-IT1","ncRNA"
"ENSG00000249833","CCDC37-DT","ncRNA"
"ENSG00000233355","CHRM3-AS2","ncRNA"
"ENSG00000236682","MAP3K2-DT","ncRNA"
"ENSG00000232677","LINC00665","ncRNA"
"ENSG00000225881","LOC100506937","ncRNA"
"ENSG00000236810","ELOA-AS1","ncRNA"
"ENSG00000241472","PTPRG-AS1","ncRNA"
"ENSG00000258390","LINC02318","ncRNA"
"ENSG00000261949","GFY","protein-coding"
"ENSG00000249599","BMPR1B-DT","ncRNA"
"ENSG00000227877","MRLN","protein-coding"
"ENSG00000271270","TMCC1-AS1","ncRNA"
"ENSG00000237399","PITRM1-AS1","ncRNA"
"ENSG00000250366","TUNAR","ncRNA"
"ENSG00000261594","TPBGL","protein-coding"
"ENSG00000246090","LOC100507053","ncRNA"
"ENSG00000204583","LRCOL1","protein-coding"
"ENSG00000228109","MELTF-AS1","ncRNA"
"ENSG00000227244","LINC00845","ncRNA"
"ENSG00000224382","LINC00703","ncRNA"
"ENSG00000239653","PSMD6-AS2","ncRNA"
"ENSG00000224743","TEX26-AS1","ncRNA"
"ENSG00000254064","LOC100507071","ncRNA"
"ENSG00000232046","LINC01798","ncRNA"
"ENSG00000227375","DLG1-AS1","ncRNA"
"ENSG00000251497","PITPNM2-AS1","ncRNA"
"ENSG00000250298","GIMD1","protein-coding"
"ENSG00000241684","ADAMTS9-AS2","ncRNA"
"ENSG00000236036","LINC00445","ncRNA"
"ENSG00000280543","ASAP1-IT2","ncRNA"
"ENSG00000258725","PRC1-AS1","ncRNA"
"ENSG00000238266","LINC00707","ncRNA"
"ENSG00000120664","SPART-AS1","ncRNA"
"ENSG00000232170","LINC00708","ncRNA"
"ENSG00000255521","LOC100507144","ncRNA"
"ENSG00000253837","LOC100507156","ncRNA"
"ENSG00000226685","CT47A12","protein-coding"
"ENSG00000225439","BOLA3-AS1","ncRNA"
"ENSG00000281706","LINC01012","ncRNA"
"ENSG00000203585","LINC02408","ncRNA"
"ENSG00000281207","SLFNL1-AS1","ncRNA"
"ENSG00000230269","LINC02525","ncRNA"
"ENSG00000251301","LINC02384","ncRNA"
"ENSG00000256162","SMLR1","protein-coding"
"ENSG00000189238","LINC00943","ncRNA"
"ENSG00000243832","LINC02000","ncRNA"
"ENSG00000267128","RNF157-AS1","ncRNA"
"ENSG00000278338","VWA8-AS1","ncRNA"
"ENSG00000204706","MAMDC2-AS1","ncRNA"
"ENSG00000163597","SNHG16","ncRNA"
"ENSG00000247363","LOC100507250","ncRNA"
"ENSG00000228495","LINC01013","ncRNA"
"ENSG00000223403","MEG9","ncRNA"
"ENSG00000235661","MIR670HG","ncRNA"
"ENSG00000247708","STX18-AS1","ncRNA"
"ENSG00000239513","LINC01210","ncRNA"
"ENSG00000259082","LINC02314","ncRNA"
"ENSG00000245498","LOC100507283","ncRNA"
"ENSG00000261221","ZNF865","protein-coding"
"ENSG00000248932","LOC100507291","ncRNA"
"ENSG00000244926","ALKBH3-AS1","ncRNA"
"ENSG00000260260","SNHG19","ncRNA"
"ENSG00000227954","TARID","ncRNA"
"ENSG00000253716","MINCR","ncRNA"
"ENSG00000272589","ZSWIM8-AS1","ncRNA"
"ENSG00000261760","LOC100507334","pseudo"
"ENSG00000228793","LOC100507336","ncRNA"
"ENSG00000253457","SMIM18","protein-coding"
"ENSG00000229124","VIM-AS1","ncRNA"
"ENSG00000224582","LINC01015","ncRNA"
"ENSG00000267169","LOC100507373","ncRNA"
"ENSG00000251138","LINC02882","ncRNA"
"ENSG00000233844","KCNQ5-IT1","ncRNA"
"ENSG00000254519","LOC100507384","ncRNA"
"ENSG00000251623","LOC100507387","ncRNA"
"ENSG00000249717","PARM1-AS1","ncRNA"
"ENSG00000243818","LOC100507389","ncRNA"
"ENSG00000237222","LINC01968","ncRNA"
"ENSG00000254703","SENCR","ncRNA"
"ENSG00000236778","INTS6-AS1","ncRNA"
"ENSG00000247675","LRP4-AS1","ncRNA"
"ENSG00000253123","LOC100507403","ncRNA"
"ENSG00000224533","TMLHE-AS1","ncRNA"
"ENSG00000234956","LINC02539","ncRNA"
"ENSG00000253414","LINC01605","ncRNA"
"ENSG00000261115","TMEM178B","protein-coding"
"ENSG00000269956","MKNK1-AS1","ncRNA"
"ENSG00000234787","LINC00458","ncRNA"
"ENSG00000267470","ZNF571-AS1","ncRNA"
"ENSG00000253267","DLGAP2-AS1","ncRNA"
"ENSG00000204520","MICA","protein-coding"
"ENSG00000251602","LOC100507437","ncRNA"
"ENSG00000225377","NRSN2-AS1","ncRNA"
"ENSG00000241131","LINC02032","ncRNA"
"ENSG00000279968","CCDC28A-AS1","ncRNA"
"ENSG00000204261","PSMB8-AS1","ncRNA"
"ENSG00000253380","LOC100507464","ncRNA"
"ENSG00000234215","CT66","ncRNA"
"ENSG00000234942","GRID1-AS1","ncRNA"
"ENSG00000231908","IDH1-AS1","ncRNA"
"ENSG00000236013","LOC100507477","ncRNA"
"ENSG00000251432","LINC02615","ncRNA"
"ENSG00000234684","SDCBP2-AS1","ncRNA"
"ENSG00000224057","EGFR-AS1","ncRNA"
"ENSG00000234817","ECI2-DT","ncRNA"
"ENSG00000237807","LOC100507516","ncRNA"
"ENSG00000255553","LINC02733","ncRNA"
"ENSG00000243069","ARHGEF26-AS1","ncRNA"
"ENSG00000248330","LINC00613","ncRNA"
"ENSG00000227640","SOX21-AS1","ncRNA"
"ENSG00000261325","LINC02192","ncRNA"
"ENSG00000240045","STRIT1","protein-coding"
"ENSG00000225434","LINC01504","ncRNA"
"ENSG00000284954","LOC100507547","ncRNA"
"ENSG00000269439","LOC100507551","ncRNA"
"ENSG00000235652","FBXO30-DT","ncRNA"
"ENSG00000226754","LOC100507564","ncRNA"
"ENSG00000269386","RAB11B-AS1","ncRNA"
"ENSG00000235831","BHLHE40-AS1","ncRNA"
"ENSG00000249346","LINC01016","ncRNA"
"ENSG00000260001","TGFBR3L","protein-coding"
"ENSG00000226806","LCT-AS1","ncRNA"
"ENSG00000248275","TRIM52-AS1","ncRNA"
"ENSG00000235824","LINC00837","ncRNA"
"ENSG00000196993","NPIPB9","protein-coding"
"ENSG00000212659","KRTAP9-6","protein-coding"
"ENSG00000235532","LINC00402","ncRNA"
"ENSG00000226995","LINC00658","ncRNA"
"ENSG00000246430","LINC00968","ncRNA"
"ENSG00000228701","TNKS2-AS1","ncRNA"
"ENSG00000248810","LINC02432","ncRNA"
"ENSG00000240859","LOC100507642","ncRNA"
"ENSG00000215277","RNF212B","protein-coding"
"ENSG00000253301","LINC01606","ncRNA"
"ENSG00000226741","LINC02554","ncRNA"
"ENSG00000242268","LINC02082","ncRNA"
"ENSG00000232671","ZNF687-AS1","ncRNA"
"ENSG00000261272","MUC22","protein-coding"
"ENSG00000283199","C13orf46","protein-coding"
"ENSG00000275563","LOC100508046","ncRNA"
"ENSG00000261761","LINC02616","ncRNA"
"ENSG00000259916","LOC100509620","protein-coding"
"ENSG00000235903","CPB2-AS1","ncRNA"
"ENSG00000248672","LY75-CD302","protein-coding"
"ENSG00000250151","ARPC4-TTLL3","protein-coding"
"ENSG00000248643","RBM14-RBM4","protein-coding"
"ENSG00000251503","CENPS-CORT","protein-coding"
"ENSG00000248919","ATP5MF-PTCD1","protein-coding"
"ENSG00000114786","ABHD14A-ACY1","protein-coding"
"ENSG00000250709","CCDC169-SOHLH2","protein-coding"
"ENSG00000249884","RNF103-CHMP3","protein-coding"
"ENSG00000248592","STIMATE-MUSTN1","protein-coding"
"ENSG00000249139","EPPIN-WFDC6","protein-coding"
"ENSG00000250021","ARPIN-AP3S2","protein-coding"
"ENSG00000250741","NT5C1B-RDH14","protein-coding"
"ENSG00000270419","CAHM","ncRNA"
"ENSG00000254959","INMT-MINDY4","ncRNA"
"ENSG00000213599","SLX1A-SULT1A3","ncRNA"
"ENSG00000260280","SLX1B-SULT1A4","ncRNA"
"ENSG00000213160","PHOSPHO2-KLHL23","protein-coding"
"ENSG00000284874","SEPT5-GP1BB","ncRNA"
"ENSG00000259030","FPGT-TNNI3K","protein-coding"
"ENSG00000259040","BLOC1S5-TXNDC5","ncRNA"
"ENSG00000215472","RPL17-C18orf32","protein-coding"
"ENSG00000259399","TGIF2-RAB5IF","protein-coding"
"ENSG00000281887","GIMAP1-GIMAP5","protein-coding"
"ENSG00000271723","MROH7-TTC4","ncRNA"
"ENSG00000260238","PMF1-BGLAP","protein-coding"
"ENSG00000230124","LHX4-AS1","ncRNA"
"ENSG00000271092","TLCD4-RWDD3","protein-coding"
"ENSG00000288534","TMX2-CTNND1","ncRNA"
"ENSG00000255071","SAA2-SAA4","protein-coding"
"ENSG00000273003","ARL2-SNX15","ncRNA"
"ENSG00000254445","HSPB2-C11orf52","ncRNA"
"ENSG00000214447","FAM187A","protein-coding"
"ENSG00000259332","ST20-MTHFS","protein-coding"
"ENSG00000259075","POC1B-GALNT4","protein-coding"
"ENSG00000286237","ARMCX5-GPRASP2","protein-coding"
"ENSG00000255526","NEDD8-MDP1","protein-coding"
"ENSG00000258643","BCL2L2-PABPN1","protein-coding"
"ENSG00000257529","RPL36A-HNRNPH2","protein-coding"
"ENSG00000103426","CORO7-PAM16","protein-coding"
"ENSG00000261408","TEN1-CDK3","ncRNA"
"ENSG00000161939","RNASEK-C17orf49","ncRNA"
"ENSG00000270011","ZNF559-ZNF177","protein-coding"
"ENSG00000270800","RPS10-NUDT3","protein-coding"
"ENSG00000221874","ZNF816-ZNF321P","protein-coding"
"ENSG00000270757","HSPE1-MOB4","protein-coding"
"ENSG00000254788","CKLF-CMTM1","protein-coding"
"ENSG00000258644","SYNJ2BP-COX16","protein-coding"
"ENSG00000125954","CHURC1-FNTB","protein-coding"
"ENSG00000274810","NPHP3-ACAD11","ncRNA"
"ENSG00000259112","NDUFC2-KCTD14","protein-coding"
"ENSG00000269897","COMMD3-BMI1","protein-coding"
"ENSG00000255152","MSH5-SAPCD1","ncRNA"
"ENSG00000274049","INO80B-WBP1","ncRNA"
"ENSG00000158747","MICOS10-NBL1","protein-coding"
"ENSG00000254870","ATP6V1G2-DDX39B","ncRNA"
"ENSG00000258388","PPT2-EGFL8","ncRNA"
"ENSG00000104205","C8orf44-SGK3","protein-coding"
"ENSG00000259305","ZHX1-C8orf76","protein-coding"
"ENSG00000026036","RTEL1-TNFRSF6B","ncRNA"
"ENSG00000135747","ZNF670-ZNF695","ncRNA"
"ENSG00000212658","KRTAP29-1","protein-coding"
"ENSG00000258984","UBE2F-SCLY","ncRNA"
"ENSG00000255245","FXYD6-FXYD2","protein-coding"
"ENSG00000247950","SEC24B-AS1","ncRNA"
"ENSG00000178882","ZNF664-RFLNA","protein-coding"
"ENSG00000269891","ARHGAP19-SLIT1","ncRNA"
"ENSG00000286088","FAM24B-CUZD1","ncRNA"
"ENSG00000275778","PRH1-PRR4","ncRNA"
"ENSG00000134899","BIVM-ERCC5","protein-coding"
